,dominant_emotion,label,imagePath,emotion.negative,emotion.neutral,emotion.positive,region.x,region.y,region.w,region.h
0,neutral,positive,dataset/test/positive/S137_011_00000020.png,32.804390480217606,48.5639564916346,18.63164864084399,151,89,294,294
0,neutral,positive,dataset/test/positive/S124_007_00000024.png,30.93118167929376,35.17181529534439,33.89700102963526,151,82,245,245
0,neutral,positive,dataset/test/positive/S116_007_00000017.png,31.69278046353374,42.13543030707394,26.17178704328364,151,83,279,279
0,neutral,positive,dataset/test/positive/S134_004_00000015.png,5.210092621515277,48.90556715290246,45.884343664210526,176,72,278,278
0,neutral,positive,dataset/test/positive/S109_006_00000015.png,25.59832941465923,44.352227783166754,30.049442802174017,157,76,279,279
0,neutral,positive,dataset/test/positive/S106_006_00000011.png,19.779449887275092,55.043901431565914,25.176650743149697,155,57,298,298
0,negative,positive,dataset/test/positive/S135_012_00000020.png,44.249401996346776,33.93652594686755,21.814069654489234,152,108,273,273
0,positive,positive,dataset/test/positive/S131_006_00000022.png,11.49870858124337,38.68425526828993,49.817032643463776,179,81,281,281
0,positive,positive,dataset/test/positive/S115_008_00000017.png,27.627624967893688,18.85281875506373,53.51955627704258,156,69,308,308
0,neutral,positive,dataset/test/positive/S114_006_00000023.png,13.767438758561914,50.56349242847991,35.66907263259843,141,76,314,314
0,neutral,positive,dataset/test/positive/S129_012_00000011.png,26.360166533967355,43.31622607221439,30.323607393818257,154,108,279,279
0,neutral,positive,dataset/test/positive/S125_005_00000013.png,11.722158172959073,52.14044499547522,36.13740301746535,202,96,264,264
0,negative,positive,dataset/test/positive/S132_006_00000023.png,37.99503280031462,36.00327006283411,26.001697136851266,177,89,266,266
0,negative,positive,dataset/test/positive/S136_006_00000020.png,42.022913606935965,21.30191838936142,36.675172580711894,197,75,264,264
0,negative,positive,dataset/test/positive/S130_013_00000015.png,70.26154042181699,11.651119422592801,18.087340155590216,130,102,304,304
0,neutral,positive,dataset/test/positive/S133_010_00000014.png,19.296321627238388,53.90642803319367,26.797247939794484,190,130,246,246
0,negative,positive,dataset/test/positive/S138_005_00000016.png,37.18684924479939,36.68377004496035,26.1293873342647,167,75,283,283
0,neutral,positive,dataset/test/positive/S128_011_00000016.png,36.34135315691211,37.09773892682731,26.56090069183067,139,111,275,275
0,positive,positive,dataset/test/positive/S108_008_00000013.png,30.8052092633621,32.75989771061363,36.43489523053691,200,89,281,281
0,neutral,positive,dataset/test/positive/S127_004_00000016.png,28.698673334730607,43.25738341695049,28.043941167392855,178,115,280,280
0,negative,negative,dataset/test/negative/S124_003_00000011.png,57.0677388292057,19.467310203896655,23.464948626013182,129,83,262,262
0,positive,negative,dataset/test/negative/S115_004_00000017.png,22.094983570681187,29.099731591939936,48.8052888279834,141,71,303,303
0,neutral,negative,dataset/test/negative/S137_005_00000027.png,24.223529032043004,59.04798980984647,16.728478953442167,157,97,286,286
0,neutral,negative,dataset/test/negative/S119_003_00000024.png,33.72354866949794,36.66620656176332,29.61024476873875,161,63,275,275
0,negative,negative,dataset/test/negative/S138_007_00000011.png,46.848161731166314,42.21141312238765,10.940421131145499,171,73,282,282
0,neutral,negative,dataset/test/negative/S134_003_00000011.png,4.381063303005691,49.314187279772334,46.304752780631816,187,86,259,259
0,positive,negative,dataset/test/negative/S501_004_00000056.png,9.200068982631402,38.9055552646497,51.89437385550681,199,76,338,338
0,negative,negative,dataset/test/negative/S138_001_00000012.png,40.250236259846176,37.001689111314754,22.748076866784,161,68,290,290
0,negative,negative,dataset/test/negative/S130_007_00000020.png,48.09215417947538,27.14999089935369,24.757857294839766,137,111,296,296
0,positive,negative,dataset/test/negative/S113_008_00000023.png,35.493318221173,21.01656008540094,43.49012169342606,143,68,309,309
0,neutral,negative,dataset/test/negative/S127_010_00000018.png,33.45438872236982,37.98560888993838,28.5600023876918,181,128,275,275
0,positive,negative,dataset/test/negative/S501_001_00000067.png,7.679475693210758,43.81222366513281,48.50830064165643,215,107,323,323
0,neutral,negative,dataset/test/negative/S119_008_00000018.png,24.10629847398533,47.74535143529499,28.148352088246583,174,92,263,263
0,positive,negative,dataset/test/negative/S133_003_00000047.png,35.02184087439087,28.851264493352282,36.1268970549828,196,141,237,237
0,neutral,negative,dataset/test/negative/S125_006_00000022.png,27.223706759160738,40.04737791510223,32.728915325737034,194,85,279,279
0,negative,negative,dataset/test/negative/S117_006_00000010.png,51.09807993576699,38.27326187210791,10.62865364149815,151,61,303,303
0,negative,negative,dataset/test/negative/S129_006_00000010.png,54.20795465650347,34.66103468430844,11.13100374482114,154,110,282,282
0,neutral,negative,dataset/test/negative/S132_002_00000018.png,22.53759723092473,40.19524453274242,37.26715823633285,179,90,269,269
0,neutral,negative,dataset/test/negative/S132_003_00000023.png,17.660454311537862,44.878098916711416,37.46144677175072,175,86,271,271
0,neutral,negative,dataset/test/negative/S117_003_00000014.png,27.43351321039645,41.04668098788929,31.519812330353314,151,46,306,306
0,negative,negative,dataset/test/negative/S136_003_00000014.png,38.3350437330471,30.449315356609276,31.21563613891054,195,72,270,270
