,dominant_emotion,label,imagePath,emotion.negative,emotion.neutral,emotion.positive,region.x,region.y,region.w,region.h
0,negative,negative,dataset\test\negative\S111_006_00000010.png,49.56972537375689,23.004860278392826,27.425411973554525,163,75,278,278
0,negative,negative,dataset\test\negative\S112_005_00000017.png,54.480908896120084,40.07797017424066,5.441118845321081,180,57,309,309
0,negative,negative,dataset\test\negative\S113_003_00000015.png,49.3195609275477,35.79986040276827,14.880583309315508,132,52,329,329
0,negative,negative,dataset\test\negative\S113_008_00000023.png,47.43474069065924,39.33668832462269,13.228568602069702,143,68,309,309
0,neutral,negative,dataset\test\negative\S115_004_00000017.png,39.28892400086891,46.4606374480599,14.250447268047367,141,71,303,303
0,negative,negative,dataset\test\negative\S117_003_00000014.png,45.60570463763839,43.62801892183451,10.76627858656056,151,46,306,306
0,negative,negative,dataset\test\negative\S117_006_00000010.png,55.08880726104258,28.058284719239804,16.852900689240755,151,61,303,303
0,negative,negative,dataset\test\negative\S119_003_00000024.png,64.78856034239512,7.72984349388499,27.481598634530968,161,63,275,275
0,negative,negative,dataset\test\negative\S119_008_00000018.png,49.97142362660707,44.75275489565066,5.275819433945004,174,92,263,263
0,negative,negative,dataset\test\negative\S124_003_00000011.png,48.57643523790203,37.70293777222624,13.720624756632787,129,83,262,262
0,negative,negative,dataset\test\negative\S125_001_00000014.png,58.23638214587844,13.035363166673836,28.728249907995547,195,91,275,275
0,negative,negative,dataset\test\negative\S125_006_00000022.png,62.6610141462631,16.937154493824593,20.40182663504153,194,85,279,279
0,neutral,negative,dataset\test\negative\S126_008_00000029.png,28.640517979323345,49.15693199680389,22.202550023872764,151,108,264,264
0,negative,negative,dataset\test\negative\S127_010_00000018.png,74.89342879256101,15.902047714499876,9.20452349293912,181,128,275,275
0,negative,negative,dataset\test\negative\S129_006_00000010.png,48.00934107223424,40.148380556968284,11.842278370797475,154,110,282,282
0,negative,negative,dataset\test\negative\S130_007_00000020.png,44.61896699450131,44.36711435911615,11.013912238244655,137,111,296,296
0,neutral,negative,dataset\test\negative\S130_009_00000019.png,36.68118715790885,42.457583382374345,20.861229459716807,134,104,304,304
0,neutral,negative,dataset\test\negative\S131_003_00000024.png,34.68014818290062,46.67382109892641,18.646035400393025,189,95,274,274
0,negative,negative,dataset\test\negative\S132_002_00000018.png,50.297424587228925,35.06117675442522,14.641407502240158,179,90,269,269
0,negative,negative,dataset\test\negative\S132_003_00000023.png,54.927451315478955,24.05476030949042,21.017790635536784,175,86,271,271
0,negative,negative,dataset\test\negative\S133_003_00000047.png,65.15842767267912,6.07481324551227,28.766759081808612,196,141,237,237
0,negative,negative,dataset\test\negative\S134_003_00000011.png,56.20269643787199,12.81224863705425,30.985054925073754,187,86,259,259
0,negative,negative,dataset\test\negative\S136_003_00000014.png,50.93338074557191,21.190803182112866,27.875816072315228,195,72,270,270
0,neutral,negative,dataset\test\negative\S136_005_00000010.png,44.42008054406748,47.102422068627625,8.477493368701332,199,76,259,259
0,negative,negative,dataset\test\negative\S137_005_00000027.png,48.06694036218008,36.43836231523204,15.49470183981061,157,97,286,286
0,negative,negative,dataset\test\negative\S138_001_00000012.png,66.9733819148048,21.676999904460306,11.349615789851695,161,68,290,290
0,negative,negative,dataset\test\negative\S138_007_00000011.png,42.00947518618377,37.660204163691745,20.330322914142286,171,73,282,282
0,neutral,negative,dataset\test\negative\S501_001_00000067.png,38.77876334776868,46.178535212649,15.042701439582316,215,107,323,323
0,negative,negative,dataset\test\negative\S501_004_00000056.png,38.311889674351,34.62107987902477,27.067028255425104,199,76,338,338
0,neutral,negative,dataset\test\negative\S501_006_00000041.png,40.605137334672975,49.137049982661715,10.257804449862727,205,97,327,327
0,negative,negative,dataset\test\negative\S502_001_00000016.png,49.39077403978508,40.7604652473694,9.848758500567538,188,97,339,339
0,negative,negative,dataset\test\negative\S502_004_00000052.png,51.834709915432754,42.27633167949483,5.888960425891707,160,59,363,363
0,negative,negative,dataset\test\negative\S503_001_00000071.png,58.116968222359766,29.4741670721254,12.408858068322024,160,101,320,320
0,negative,positive,dataset\test\positive\S106_006_00000011.png,72.08059694743861,24.82694159046582,3.092463731981982,155,57,298,298
0,negative,positive,dataset\test\positive\S108_008_00000013.png,66.61177785221349,16.17467784207957,17.21355155803136,200,89,281,281
0,negative,positive,dataset\test\positive\S109_006_00000015.png,40.224673695701235,22.880010858918507,36.89531544538026,157,76,279,279
0,negative,positive,dataset\test\positive\S114_006_00000023.png,63.11158045803407,27.62927140843721,9.259152648795421,141,76,314,314
0,negative,positive,dataset\test\positive\S115_008_00000017.png,48.292358811671406,24.007413078769698,27.700228109558896,156,69,308,308
0,negative,positive,dataset\test\positive\S116_007_00000017.png,63.434050906316145,31.708751460071856,4.857199798445356,151,83,279,279
0,negative,positive,dataset\test\positive\S124_007_00000024.png,54.80502085391649,12.897586298903553,32.297395181974345,151,82,245,245
0,negative,positive,dataset\test\positive\S125_005_00000013.png,54.54229880913495,5.554601516817994,39.90309748532704,202,96,264,264
0,neutral,positive,dataset\test\positive\S127_004_00000016.png,40.82827503072776,41.32236962303956,17.849353138620142,178,115,280,280
0,negative,positive,dataset\test\positive\S128_011_00000016.png,62.02882401521311,30.77418742442397,7.196986267574794,139,111,275,275
0,negative,positive,dataset\test\positive\S129_012_00000011.png,50.40686392252775,39.616296243329785,9.976835637852083,154,108,279,279
0,negative,positive,dataset\test\positive\S130_013_00000015.png,57.65249440226082,25.666375927937278,16.681132134246372,130,102,304,304
0,negative,positive,dataset\test\positive\S131_006_00000022.png,58.85423632273933,33.257554018487234,7.888205330629109,179,81,281,281
0,negative,positive,dataset\test\positive\S132_006_00000023.png,48.822228732059706,41.27034864739129,9.90742262054901,177,89,266,266
0,positive,positive,dataset\test\positive\S133_010_00000014.png,34.31003413648537,18.981767915164994,46.70820245517333,190,130,246,246
0,negative,positive,dataset\test\positive\S134_004_00000015.png,60.98689945998545,20.775549352427912,18.237553592396797,176,72,278,278
0,negative,positive,dataset\test\positive\S135_012_00000020.png,51.15479757765261,39.281382642092396,9.563817672106113,152,108,273,273
0,negative,positive,dataset\test\positive\S136_006_00000020.png,50.20026026797641,40.29118500046304,9.508560977592236,197,75,264,264
0,positive,positive,dataset\test\positive\S137_011_00000020.png,41.454101096109326,13.576044960445042,44.9698561536643,151,89,294,294
0,negative,positive,dataset\test\positive\S138_005_00000016.png,52.127450138013764,26.83347449188393,21.039075370102307,167,75,283,283
0,positive,negative,dataset\train\negative\S010_004_00000019.png,29.27126881725749,31.212706864624188,39.516021939995,226,107,305,305
0,positive,negative,dataset\train\negative\S011_002_00000022.png,37.1505855239862,19.80149826820406,43.04790944333417,227,89,340,340
0,negative,negative,dataset\train\negative\S011_003_00000014.png,59.69737478992101,10.181689765678094,30.12093778589663,207,67,356,356
0,negative,negative,dataset\train\negative\S011_004_00000021.png,34.42405186188344,32.19876526802634,33.377180476382335,236,105,325,325
0,negative,negative,dataset\train\negative\S014_002_00000016.png,43.664201873293514,37.379883751013985,18.95591211888638,205,106,323,323
0,negative,negative,dataset\train\negative\S014_003_00000030.png,49.88316066892732,18.458170623782415,31.65866383939046,216,115,309,309
0,negative,negative,dataset\train\negative\S022_005_00000032.png,40.25570861519377,30.96091498983978,28.783380931590255,223,96,254,254
0,negative,negative,dataset\train\negative\S026_002_00000016.png,57.324054180031936,34.531776192945344,8.144176091309516,206,104,261,261
