,dominant_emotion,label,imagePath,emotion.negative,emotion.neutral,emotion.positive,region.x,region.y,region.w,region.h
0,positive,negative,dataset\test\negative\S111_006_00000010.png,32.79403640336652,24.694665853005517,42.51129985579002,163,75,278,278
0,positive,negative,dataset\test\negative\S112_005_00000017.png,38.025663453181394,22.443685824273427,39.53065505004406,180,57,309,309
0,positive,negative,dataset\test\negative\S113_003_00000015.png,35.50725922001164,20.42245638124804,44.070286619744834,132,52,329,329
0,positive,negative,dataset\test\negative\S113_008_00000023.png,33.46700460616161,21.641681918885396,44.891317698774294,143,68,309,309
0,positive,negative,dataset\test\negative\S115_004_00000017.png,33.294786933412645,20.62968648315757,46.07552446390414,141,71,303,303
0,positive,negative,dataset\test\negative\S117_003_00000014.png,31.85683525147981,21.34216206796494,46.80100268055525,151,46,306,306
0,positive,negative,dataset\test\negative\S117_006_00000010.png,32.29946769270165,21.982770592507087,45.71775959782355,151,61,303,303
0,positive,negative,dataset\test\negative\S119_003_00000024.png,35.001762546284965,22.64720161085546,42.35103377171235,161,63,275,275
0,positive,negative,dataset\test\negative\S119_008_00000018.png,33.47931037154054,22.476163273427694,44.04452417897654,174,92,263,263
0,positive,negative,dataset\test\negative\S124_003_00000011.png,29.610706344887422,24.117582512740796,46.27171114237178,129,83,262,262
0,positive,negative,dataset\test\negative\S125_001_00000014.png,34.12747011798459,20.168249479079183,45.704284942551176,195,91,275,275
0,positive,negative,dataset\test\negative\S125_006_00000022.png,30.392702382441655,22.90851351069597,46.69878410686238,194,85,279,279
0,positive,negative,dataset\test\negative\S126_008_00000029.png,37.76300918016258,23.1158906653625,39.121100154474924,151,108,264,264
0,positive,negative,dataset\test\negative\S127_010_00000018.png,35.65466352195923,20.1629813470867,44.18235920919896,181,128,275,275
0,positive,negative,dataset\test\negative\S129_006_00000010.png,33.591480348288975,21.771133164599718,44.637388632466504,154,110,282,282
0,positive,negative,dataset\test\negative\S130_007_00000020.png,33.18231534317009,23.924903342205948,42.89278537519336,137,111,296,296
0,positive,negative,dataset\test\negative\S130_009_00000019.png,33.58696096514429,21.512223050215834,44.90081598463988,134,104,304,304
0,positive,negative,dataset\test\negative\S131_003_00000024.png,34.97757711742247,20.967315984094135,44.05510910881033,189,95,274,274
0,positive,negative,dataset\test\negative\S132_002_00000018.png,34.282331893009406,22.513499228953965,43.20417099350534,179,90,269,269
0,positive,negative,dataset\test\negative\S132_003_00000023.png,29.24407134696054,23.41836101231813,47.33756152252662,175,86,271,271
0,positive,negative,dataset\test\negative\S133_003_00000047.png,37.42467862091817,21.001533385028715,41.57378362493689,196,141,237,237
0,positive,negative,dataset\test\negative\S134_003_00000011.png,33.69918981515792,21.45755560571597,44.8432545791261,187,86,259,259
0,positive,negative,dataset\test\negative\S136_003_00000014.png,32.68164201543668,23.21185027971448,44.10651186900174,195,72,270,270
