,dominant_emotion,label,imagePath,emotion.negative,emotion.neutral,emotion.positive,region.x,region.y,region.w,region.h
0,positive,positive,dataset/test/positive/S137_011_00000020.png,35.9509757659731,12.410579182283895,51.63844803298349,151,89,294,294
0,positive,positive,dataset/test/positive/S124_007_00000024.png,35.950546614775746,12.410330516029724,51.63912286919453,151,82,245,245
0,positive,positive,dataset/test/positive/S116_007_00000017.png,35.950817365339084,12.41042132608933,51.63876130857159,151,83,279,279
0,positive,positive,dataset/test/positive/S134_004_00000015.png,35.950546614775746,12.410330516029724,51.63912286919453,176,72,278,278
0,positive,positive,dataset/test/positive/S109_006_00000015.png,35.95255412172249,12.411508379581813,51.6359374986957,157,76,279,279
0,positive,positive,dataset/test/positive/S106_006_00000011.png,35.950546614775746,12.410330516029724,51.63912286919453,155,57,298,298
0,positive,positive,dataset/test/positive/S135_012_00000020.png,36.92315484625724,12.988762646463611,50.08808550787555,152,108,273,273
0,positive,positive,dataset/test/positive/S131_006_00000022.png,35.950546614775746,12.410330516029724,51.63912286919453,179,81,281,281
0,positive,positive,dataset/test/positive/S115_008_00000017.png,35.950546614775746,12.410330516029724,51.63912286919453,156,69,308,308
0,positive,positive,dataset/test/positive/S114_006_00000023.png,35.952086573966085,12.41122991642447,51.63668350960945,141,76,314,314
0,positive,positive,dataset/test/positive/S129_012_00000011.png,35.950561151394844,12.410336457108295,51.63910537272916,154,108,279,279
0,positive,positive,dataset/test/positive/S125_005_00000013.png,35.950872530953305,12.410519621497208,51.63860784754949,202,96,264,264
0,negative,positive,dataset/test/positive/S132_006_00000023.png,71.54089157143711,14.067015411711221,14.392090036566312,177,89,266,266
0,positive,positive,dataset/test/positive/S136_006_00000020.png,36.3504080351538,12.646507039727378,51.00308492511882,197,75,264,264
0,positive,positive,dataset/test/positive/S130_013_00000015.png,35.950548758313985,12.410331255991158,51.639119985694855,130,102,304,304
0,positive,positive,dataset/test/positive/S133_010_00000014.png,35.95065199287438,12.410393797745579,51.638954209380046,190,130,246,246
0,negative,positive,dataset/test/positive/S138_005_00000016.png,51.18764652243226,13.385143612335018,35.42720680487175,167,75,283,283
0,positive,positive,dataset/test/positive/S128_011_00000016.png,35.95080172019756,12.410480908099078,51.63871439046643,139,111,275,275
0,positive,positive,dataset/test/positive/S108_008_00000013.png,35.95067061930394,12.410334215837773,51.63899516485828,200,89,281,281
0,positive,positive,dataset/test/positive/S127_004_00000016.png,35.95060335680856,12.41035954562434,51.639037097567105,178,115,280,280
0,negative,negative,dataset/test/negative/S124_003_00000011.png,63.046680656669466,23.527714527368385,13.425604815962147,129,83,262,262
0,negative,negative,dataset/test/negative/S115_004_00000017.png,68.76568074583926,17.756234692623032,13.478087548488668,141,71,303,303
0,negative,negative,dataset/test/negative/S137_005_00000027.png,56.03553696945473,30.190585417434114,13.773877613111155,157,97,286,286
0,negative,negative,dataset/test/negative/S119_003_00000024.png,62.679280351499564,23.79251034331015,13.528206312420938,161,63,275,275
0,negative,negative,dataset/test/negative/S138_007_00000011.png,69.15595413995445,17.184245500284643,13.659800359760915,171,73,282,282
0,negative,negative,dataset/test/negative/S134_003_00000011.png,64.3110705614623,22.01421485436222,13.674714584175483,187,86,259,259
0,negative,negative,dataset/test/negative/S501_004_00000056.png,66.32523106318448,18.65697122210049,15.017800731481369,199,76,338,338
