,dominant_emotion,label,imagePath,emotion.negative,emotion.neutral,emotion.positive,region.x,region.y,region.w,region.h
0,negative,negative,dataset\test\negative\S111_006_00000010.png,43.47272717746518,26.82293777813554,29.70433504439928,163,75,278,278
0,negative,negative,dataset\test\negative\S112_005_00000017.png,43.477118494737134,27.12488984486372,29.397991660399143,180,57,309,309
0,negative,negative,dataset\test\negative\S113_003_00000015.png,43.484620139285184,27.089403519557656,29.425976341157156,132,52,329,329
0,negative,negative,dataset\test\negative\S113_008_00000023.png,43.31823085118798,27.1936612268636,29.488103178209922,143,68,309,309
0,negative,negative,dataset\test\negative\S115_004_00000017.png,42.47324894680632,27.504218255407427,30.022530435412026,141,71,303,303
0,negative,negative,dataset\test\negative\S117_003_00000014.png,42.53117815619315,26.949669862732026,30.519149611067593,151,46,306,306
0,negative,negative,dataset\test\negative\S117_006_00000010.png,42.44611853064048,27.51674091441527,30.037140554944248,151,61,303,303
0,negative,negative,dataset\test\negative\S119_003_00000024.png,43.50745967543337,26.615717601871292,29.87682035478496,161,63,275,275
0,negative,negative,dataset\test\negative\S119_008_00000018.png,43.09764502897707,27.361572234654044,29.54078036609538,174,92,263,263
0,negative,negative,dataset\test\negative\S124_003_00000011.png,42.07438656484845,26.76142066548319,31.164190400186527,129,83,262,262
0,negative,negative,dataset\test\negative\S125_001_00000014.png,43.072175566561505,26.85964915778652,30.068175275651974,195,91,275,275
0,negative,negative,dataset\test\negative\S125_006_00000022.png,42.091962968358274,27.579729240270918,30.328300706090676,194,85,279,279
0,negative,negative,dataset\test\negative\S126_008_00000029.png,44.84849722956189,26.650609393285368,28.500893377152742,151,108,264,264
0,negative,negative,dataset\test\negative\S127_010_00000018.png,42.7976761388036,26.424570991840756,30.7777481399084,181,128,275,275
0,negative,negative,dataset\test\negative\S129_006_00000010.png,42.7083877787701,27.350729076476618,29.94088551194618,154,110,282,282
0,negative,negative,dataset\test\negative\S130_007_00000020.png,43.413313701504066,26.57408181483333,30.012604483662606,137,111,296,296
0,negative,negative,dataset\test\negative\S130_009_00000019.png,43.171136101772554,27.33371803173345,29.495145866493996,134,104,304,304
0,negative,negative,dataset\test\negative\S131_003_00000024.png,43.384826831316865,27.39698968628219,29.218183482400946,189,95,274,274
0,negative,negative,dataset\test\negative\S132_002_00000018.png,43.10907745365019,27.349186870542027,29.541733304767035,179,90,269,269
0,negative,negative,dataset\test\negative\S132_003_00000023.png,42.401970688194744,26.917408662642956,30.68061590645871,175,86,271,271
0,negative,negative,dataset\test\negative\S133_003_00000047.png,43.71301593222667,26.854332760907578,29.432646558546164,196,141,237,237
0,negative,negative,dataset\test\negative\S134_003_00000011.png,42.64880585438542,27.540058046898707,29.811136098715874,187,86,259,259
0,negative,negative,dataset\test\negative\S136_003_00000014.png,43.14098115579329,26.966985249901523,29.892033594305186,195,72,270,270
0,negative,negative,dataset\test\negative\S136_005_00000010.png,43.8208199785869,26.991492784739123,29.187687236673984,199,76,259,259
0,negative,negative,dataset\test\negative\S137_005_00000027.png,43.2937375917564,27.157954481334826,29.548307926908777,157,97,286,286
0,negative,negative,dataset\test\negative\S138_001_00000012.png,41.92854998249436,27.243996680398226,30.82745333710741,161,68,290,290
0,negative,negative,dataset\test\negative\S138_007_00000011.png,42.896002113902554,26.996945682790336,30.107054564259748,171,73,282,282
0,negative,negative,dataset\test\negative\S501_001_00000067.png,43.70377783051371,27.44618790701575,28.85002949717561,215,107,323,323
0,negative,negative,dataset\test\negative\S501_004_00000056.png,42.05770680912882,27.935734321903233,30.00655648808042,199,76,338,338
0,negative,negative,dataset\test\negative\S501_006_00000041.png,43.57269259263144,27.452255276709632,28.97505928164095,205,97,327,327
0,negative,negative,dataset\test\negative\S502_001_00000016.png,43.29301012386195,26.917188953438266,29.789798555054478,188,97,339,339
0,negative,negative,dataset\test\negative\S502_004_00000052.png,43.34976560568665,26.40982179723652,30.240405471474503,160,59,363,363
0,negative,negative,dataset\test\negative\S503_001_00000071.png,43.30295797593128,26.853792533261675,29.843249490807043,160,101,320,320
0,negative,positive,dataset\test\positive\S106_006_00000011.png,42.394921354276406,27.085252779075738,30.519823492809977,155,57,298,298
0,negative,positive,dataset\test\positive\S108_008_00000013.png,42.44562455298081,27.11791126855159,30.436466548036567,200,89,281,281
0,negative,positive,dataset\test\positive\S109_006_00000015.png,42.25988022329439,27.431186002003574,30.308933774702037,157,76,279,279
0,negative,positive,dataset\test\positive\S114_006_00000023.png,42.40671436204435,27.190388698520554,30.40290167287252,141,76,314,314
0,negative,positive,dataset\test\positive\S115_008_00000017.png,42.03821680164273,27.487434960112907,30.474348238244364,156,69,308,308
0,negative,positive,dataset\test\positive\S116_007_00000017.png,43.89587918012645,26.612549415818833,29.49156665800988,151,83,279,279
0,negative,positive,dataset\test\positive\S124_007_00000024.png,41.842116752188666,27.3557142344391,30.80216901337223,151,82,245,245
0,negative,positive,dataset\test\positive\S125_005_00000013.png,42.14397771144218,27.23097002373627,30.6250546297456,202,96,264,264
0,negative,positive,dataset\test\positive\S127_004_00000016.png,42.574161651106,27.236750876923708,30.189089834754437,178,115,280,280
0,negative,positive,dataset\test\positive\S128_011_00000016.png,42.64148503119925,27.195441347592975,30.163071248965583,139,111,275,275
0,negative,positive,dataset\test\positive\S129_012_00000011.png,42.02349994737347,27.27070204925142,30.705795634944508,154,108,279,279
0,negative,positive,dataset\test\positive\S130_013_00000015.png,42.28591198015027,27.533371824414772,30.180720929497127,130,102,304,304
0,negative,positive,dataset\test\positive\S131_006_00000022.png,42.30489314698182,27.33476542312432,30.360339063585545,179,81,281,281
0,negative,positive,dataset\test\positive\S132_006_00000023.png,42.99770642593791,26.780543754971326,30.221752192604775,177,89,266,266
0,negative,positive,dataset\test\positive\S133_010_00000014.png,42.358127662123096,27.534434058193373,30.10743354133423,190,130,246,246
0,negative,positive,dataset\test\positive\S134_004_00000015.png,42.24501252258833,27.209639486970847,30.54534561622037,176,72,278,278
0,negative,positive,dataset\test\positive\S135_012_00000020.png,42.58109763237406,27.64366406539968,29.775238302226263,152,108,273,273
0,negative,positive,dataset\test\positive\S136_006_00000020.png,43.74991814917102,26.790402660526794,29.459676817814383,197,75,264,264
0,negative,positive,dataset\test\positive\S137_011_00000020.png,42.33559568218454,27.41985157674875,30.244548011681204,151,89,294,294
0,negative,positive,dataset\test\positive\S138_005_00000016.png,42.762060377018905,27.07024740904632,30.16768746764215,167,75,283,283
